Бумага;ISIN;Торговый код;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;7;22.02.2017;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;8;23.08.2017;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;9;21.02.2018;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;10;22.08.2018;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;11;20.02.2019;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;12;21.08.2019;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;13;19.02.2020;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;14;19.08.2020;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;15;17.02.2021;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;16;18.08.2021;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;17;16.02.2022;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;18;17.08.2022;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;19;15.02.2023;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;20;16.08.2023;7;34.9;1 000
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;1;21.05.2014;6.7;34.69;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;2;19.11.2014;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;3;20.05.2015;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;4;18.11.2015;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;5;18.05.2016;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;6;16.11.2016;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;7;17.05.2017;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;8;15.11.2017;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;9;16.05.2018;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;10;14.11.2018;6.7;33.41;
Россия, 26216;RU000A0JU9V1;SU26216RMFS0;11;15.05.2019;6.7;33.41;1 000
Россия, 26217;RU000A0JVW30;SU26217RMFS8;1;24.02.2016;7.5;24.45;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;2;24.08.2016;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;3;22.02.2017;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;4;23.08.2017;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;5;21.02.2018;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;6;22.08.2018;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;7;20.02.2019;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;8;21.08.2019;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;9;19.02.2020;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;10;19.08.2020;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;11;17.02.2021;7.5;37.4;
Россия, 26217;RU000A0JVW30;SU26217RMFS8;12;18.08.2021;7.5;37.4;1 000
Россия, 26218;RU000A0JVW48;SU26218RMFS6;1;06.04.2016;8.5;37.49;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;2;05.10.2016;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;3;05.04.2017;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;4;04.10.2017;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;5;04.04.2018;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;6;03.10.2018;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;7;03.04.2019;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;8;02.10.2019;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;9;01.04.2020;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;10;30.09.2020;8.5;42.38;
Россия, 26218;RU000A0JVW48;SU26218RMFS6;11;31.03.2021;8.5;42.38;
