TRADEDATE,tau,beta0,beta1,beta2
2014-05-27,29.999965027944988,2103748.095370786,42407.159818633925,-735299.2870291139
2014-05-28,29.999965027944988,2125501.178310992,42407.1597064184,-735296.6991001524
2014-05-29,29.999965027944988,2147254.2611929895,42407.15959640918,-735294.1111711909
2014-05-30,29.999965027944988,2169007.3440180384,42407.15948860673,-735291.5232422294
2014-06-02,29.999965027944988,2190760.426787295,42407.159382905345,-735288.9353132679
2014-06-03,29.999965027944988,2212513.5095018093,42407.15927941073,-735286.3473843064
2014-06-04,29.999965027944988,2234266.592162843,42407.15917770192,-735283.7594553449
2014-06-05,29.999965027944988,2256019.674771131,42407.15907809464,-735281.1715263834
2014-06-06,29.999965027944988,2277772.7573279343,42407.15898037888,-735278.5835974219
2014-06-09,29.999965027944988,2299525.8398340936,42407.15888465941,-735275.9956684604
2014-06-10,29.999965027944988,2321278.9222907643,42407.15879041096,-735273.4077394989
2014-06-11,29.999965027944988,2343032.0046985773,42407.158698158804,-735270.8198105374
2014-06-16,29.999965027944988,2364785.087058688,42407.15860748291,-735268.2318815759
2014-06-17,29.999965027944988,2386538.169371832,42407.15851859329,-735265.6439526144
2014-06-18,29.999965027944988,2408291.2516389554,42407.15843117423,-735263.0560236529
2014-06-19,29.999965027944988,2430044.333860793,42407.15834533144,-735260.4680946914
2014-06-20,29.999965027944988,2451797.416038291,42407.158261064906,-735257.8801657299
2014-06-23,29.999965027944988,2473550.4981722897,42407.15817805892,-735255.2922367684
2014-06-24,29.999965027944988,2495303.5802634195,42407.158096629195,-735252.7043078069
2014-06-25,29.999965027944988,2517056.662312416,42407.158016565256,-735250.1163788454
2014-06-26,29.999965027944988,2538809.7443199093,42407.15793797234,-735247.5284498839
2014-06-27,29.999965027944988,2560562.82628674,42407.15786064044,-735244.9405209224
2014-06-30,29.999965027944988,2582315.9082136443,42407.15778467432,-735242.3525919609
2014-07-01,29.999965027944988,2604068.990101147,42407.15770996921,-735239.7646629994
2014-07-02,29.999965027944988,2625822.0719499835,42407.157636524644,-735237.1767340379
2014-07-03,29.999965027944988,2647575.153760995,42407.15756402584,-735234.5888050764
2014-07-04,29.999965027944988,2669328.235534601,42407.15749289282,-735232.0008761149
2014-07-07,29.999965027944988,2691081.317271432,42407.15742281079,-735229.4129471534
2014-07-08,29.999965027944988,2712834.3989719087,42407.157354094554,-735226.825018192
2014-07-09,29.999965027944988,2734587.4806368714,42407.15728621883,-735224.2370892304
2014-07-10,29.999965027944988,2756340.5622667405,42407.15721960412,-735221.649160269
2014-07-11,29.999965027944988,2778093.6438621464,42407.15715393517,-735219.0612313075
2014-07-14,29.999965027944988,2799846.7254237197,42407.15708910627,-735216.473302346
2014-07-15,29.999965027944988,2821599.806951775,42407.15702553885,-735213.8853733845
2014-07-16,29.999965027944988,2843352.8884470486,42407.15696281195,-735211.297444423
2014-07-17,29.999965027944988,2865105.969909855,42407.156901030336,-735208.7095154615
2014-07-18,29.999965027944988,2886859.0513408254,42407.15684019448,-735206.1215865
2014-07-21,29.999965027944988,2908612.1327403793,42407.15678019915,-735203.5336575385
2014-07-22,29.999965027944988,2930365.2141088326,42407.156721149106,-735200.945728577
2014-07-23,29.999965027944988,2952118.2954468154,42407.15666304482,-735198.3577996155
2014-07-24,29.999965027944988,2973871.3767547477,42407.15660578152,-735195.769870654
2014-07-25,29.999965027944988,2995624.4580330504,42407.156549358275,-735193.1819416925
2014-07-28,29.999965027944988,3017377.539282143,42407.15649377601,-735190.594012731
2014-07-29,29.999965027944988,3039130.620502657,42407.156438719016,-735188.0060837695
2014-07-30,29.999965027944988,3060883.7016948014,42407.15638450254,-735185.418154808
2014-07-31,29.999965027944988,3082636.782858892,42407.15633112658,-735182.8302258465
2014-08-01,29.999965027944988,3104389.863995454,42407.15627859114,-735180.242296885
2014-08-04,29.999965027944988,3126142.9451048025,42407.156226896215,-735177.6543679235
2014-08-05,29.999965027944988,3147896.026187463,42407.156175727025,-735175.066438962
2014-08-06,29.999965027944988,3169649.107243751,42407.15612529311,-735172.4785100005
2014-08-07,29.999965027944988,3191402.1882738764,42407.15607559495,-735169.890581039
2014-08-08,29.999965027944988,3213155.2692783647,42407.15602642158,-735167.3026520775
2014-08-11,29.999965027944988,3234908.350257531,42407.15597787872,-735164.714723116
2014-08-12,29.999965027944988,3256661.43121169,42407.1559300716,-735162.1267941545
2014-08-13,29.999965027944988,3278414.5121411574,42407.15588300023,-735159.538865193
2014-08-14,29.999965027944988,3300167.5930463537,42407.15583634889,-735156.9509362315
2014-08-15,29.999965027944988,3321920.6739273835,42407.15579043329,-735154.36300727
2014-08-18,29.999965027944988,3343673.7547847726,42407.15574504249,-735151.7750783085
2014-08-19,29.999965027944988,3365426.835618731,42407.155700282194,-735149.187149347
2014-08-20,29.999965027944988,3387179.916429679,42407.155656152405,-735146.5992203855
2014-08-21,29.999965027944988,3408932.9972177213,42407.15561265312,-735144.011291424
2014-08-22,29.999965027944988,3430686.077983279,42407.155569679104,-735141.4233624625
2014-08-25,29.999965027944988,3452439.158726561,42407.15552723082,-735138.835433501
2014-08-26,29.999965027944988,3474192.2394479886,42407.15548520256,-735136.2475045396
2014-08-27,29.999965027944988,3495945.3201477714,42407.15544370003,-735133.659575578
2014-08-28,29.999965027944988,3517698.40082612,42407.15540272277,-735131.0716466166
2014-08-29,29.999965027944988,3539451.4814832443,42407.15536227031,-735128.4837176551
2014-09-01,29.999965027944988,3561204.5621196697,42407.1553221331,-735125.8957886936
2014-09-02,29.999965027944988,3582957.6427352913,42407.15528273117,-735123.3078597321
2014-09-03,29.999965027944988,3604710.723330739,42407.15524353972,-735120.7199307706
2014-09-04,29.999965027944988,3626463.803905908,42407.15520497877,-735118.1320018091
2014-09-05,29.999965027944988,3648216.884461219,42407.15516683785,-735115.5440728476
2014-09-08,29.999965027944988,3669969.9649969866,42407.155129222665,-735112.9561438861
2014-09-09,29.999965027944988,3691723.045513316,42407.155092027504,-735110.3682149246
2014-09-10,29.999965027944988,3713476.1260104175,42407.155055358075,-735107.7802859631
2014-09-11,29.999965027944988,3735229.2064885013,42407.15501900343,-735105.1923570016
2014-09-12,29.999965027944988,3756982.2869478823,42407.15498317452,-735102.6044280401
2014-09-15,29.999965027944988,3778735.367388771,42407.15494766086,-735100.0164990786
2014-09-16,29.999965027944988,3800488.4478112725,42407.154912672006,-735097.4285701171
2014-09-17,29.999965027944988,3822241.528215807,42407.1548779984,-735094.8406411556
2014-09-18,29.999965027944988,3843994.608602479,42407.154843640514,-735092.2527121941
2014-09-19,29.999965027944988,3865747.6889712894,42407.15480980743,-735089.6647832326
2014-09-22,29.999965027944988,3887500.7693227627,42407.15477629006,-735087.0768542711
2014-09-23,29.999965027944988,3909253.8496568995,42407.154743087944,-735084.4889253096
2014-09-24,29.999965027944988,3931006.929973805,42407.154710305855,-735081.9009963481
2014-09-25,29.999965027944988,3952760.010273899,42407.15467783902,-735079.3130673866
2014-09-26,29.999965027944988,3974513.0905571817,42407.15464589745,-735076.7251384251
2014-09-29,29.999965027944988,3996266.1708239685,42407.15461427113,-735074.1372094636
2014-09-30,29.999965027944988,4018019.251074469,42407.15458274959,-735071.5492805021
2014-10-01,29.999965027944988,4039772.3313087886,42407.154551649,-735068.9613515406
2014-10-02,29.999965027944988,4061525.4115271377,42407.1545208632,-735066.3734225791
2014-10-03,29.999965027944988,4083278.491729516,42407.154490392655,-735063.7854936176
2014-10-06,29.999965027944988,4105031.571916239,42407.15446023736,-735061.1975646561
2014-10-07,29.999965027944988,4126784.652087516,42407.15443039732,-735058.6096356947
2014-10-08,29.999965027944988,4148537.732243453,42407.154400977306,-735056.0217067332
