TRADEDATE,tau,beta_0,beta_1,beta_2
2016-07-20,1.0,0.08522107842894519,0.010802282620809886,0.0
2016-07-21,1.0,0.08569600524754747,0.010787044255958528,0.0
2016-07-22,1.0,0.08595941117925981,0.011204156163682907,0.0
2016-07-25,1.0,0.08637330478014785,0.010091683459399314,0.0
2016-07-26,1.0,0.08708891015689191,0.010470666575259566,0.0
2016-07-27,1.0,0.0868122406763928,0.010147351447886269,0.0
2016-07-28,1.0,0.08648235071688186,0.01029848730757918,0.0
2016-07-29,1.0,0.08581311986574758,0.010193212187507766,0.0
2016-08-01,1.0,0.085361928453658,0.010564309757297552,0.0
2016-08-02,1.0,0.08560972889554092,0.010125184631835718,0.0
2016-08-03,1.0,0.08593919227224356,0.008269024600544864,0.0
2016-08-04,1.0,0.08577270712092455,0.008284281284397385,0.0
2016-08-05,1.0,0.08507337586149966,0.0076514427480497416,0.0
2016-08-08,1.0,0.08455335656476014,0.00874818962369954,0.0
2016-08-09,1.0,0.08425669304119601,0.00944862160016742,0.0
2016-08-10,1.0,0.08362088485487788,0.009963905074283644,0.0
2016-08-11,1.0,0.08391272471716013,0.009951174267217464,0.0
2016-08-12,1.0,0.08440553260034656,0.00905730005528381,0.0
2016-08-15,1.0,0.08406659678628195,0.010269316153558888,0.0
2016-08-16,1.0,0.08406132945440423,0.009923537464176277,0.0
2016-08-17,1.0,0.08438441277608322,0.00948497392560986,0.0
2016-08-18,1.0,0.08414653602783907,0.009462203866782856,0.0
2016-08-19,1.0,0.08410699815212196,0.008972843065779404,0.0
2016-08-22,1.0,0.08422277654343989,0.009434702959439184,0.0
2016-08-23,1.0,0.08391780990411343,0.009358419792132533,0.0
2016-08-24,1.0,0.08404549805736833,0.009167691548595397,0.0
2016-08-25,1.0,0.08378156848889268,0.008383086418646366,0.0
2016-08-26,1.0,0.08371924330516957,0.008218598498989593,0.0
2016-08-29,1.0,0.08352525265932714,0.008576594332922127,0.0
2016-08-30,1.0,0.08330918208020247,0.00787261381333737,0.0
2016-08-31,1.0,0.08309624579983735,0.0076764213392772895,0.0
2016-09-01,1.0,0.08285095046272817,0.007661631891884291,0.0
2016-09-02,1.0,0.08258888105781143,0.008074361430618918,0.0
2016-09-05,1.0,0.08235902848650983,0.008542241313212726,0.0
2016-09-06,1.0,0.08219333014522699,0.009591690666082286,0.0
2016-09-07,1.0,0.08132807051502249,0.010261219317761555,0.0
2016-09-08,1.0,0.08071136254426475,0.011137466083562503,0.0
2016-09-09,1.0,0.08132780617261942,0.010458268655515857,0.0
2016-09-12,1.0,0.08206307909107569,0.008979116152757358,0.0
2016-09-13,1.0,0.08181236172128802,0.008971062986423847,0.0
2016-09-14,1.0,0.08195263943740833,0.008466213538721803,0.0
2016-09-15,1.0,0.08208142082027395,0.00883835584510699,0.0
2016-09-16,1.0,0.08278677937519018,0.008676381237431627,0.0
2016-09-19,1.0,0.08326386430593752,0.010475430725392282,0.0
2016-09-20,1.0,0.08380123354950383,0.01025677078443167,0.0
2016-09-21,1.0,0.08256517097534372,0.010600759010127678,0.0
2016-09-22,1.0,0.08190290145835033,0.011148088482679869,0.0
2016-09-23,1.0,0.08265591421015389,0.011015528552061948,0.0
2016-09-26,1.0,0.0828714529495807,0.010755553203196974,0.0
2016-09-27,1.0,0.08290113959172178,0.010510155642082394,0.0
2016-09-28,1.0,0.08325522657911064,0.010150811051712658,0.0
2016-09-29,1.0,0.08239472152350175,0.010274503555130696,0.0
2016-09-30,1.0,0.08271527553956351,0.009797109757212652,0.0
2016-10-03,1.0,0.0818621870991323,0.01060588676011033,0.0
2016-10-04,1.0,0.08205056628141882,0.010759394047926543,0.0
2016-10-05,1.0,0.0825046079442651,0.010768059093437699,0.0
2016-10-06,1.0,0.08277779190603003,0.008755398579426948,0.0
2016-10-07,1.0,0.08301496107693093,0.011227637668666593,0.0
2016-10-10,1.0,0.08342012929642777,0.008133073072639274,0.0
