BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION,,,,,,,
SNDX;RGBITR;2020-06-09;MOEX Government Bond Index;MOEX Government Bond Index;608,73;609,01;609,01;606,82;29230726003,4;1850;5,49;2;8545655442240;RUB;1,000000;3
SNDX;RGBITR;2020-06-08;MOEX Government Bond Index;MOEX Government Bond Index;608,88;609,65;609,76;608,46;28238208432,2;1852;5,48;2;8547829631440;RUB;1,000000;3
SNDX;RGBITR;2020-06-05;MOEX Government Bond Index;MOEX Government Bond Index;609,27;610,42;611,22;609,01;55753345910,6;1857;5,46;2;8553335528760;RUB;1,000000;3
SNDX;RGBITR;2020-06-04;MOEX Government Bond Index;MOEX Government Bond Index;610,18;613,07;613,23;610,12;39719088133,2;1860;5,42;2;8566175493140;RUB;1,000000;3
SNDX;RGBITR;2020-06-03;MOEX Government Bond Index;MOEX Government Bond Index;612,91;613,54;613,66;612,68;29975025518,9;1865;5,33;2;8616560471110;RUB;1,000000;3
SNDX;RGBITR;2020-06-02;MOEX Government Bond Index;MOEX Government Bond Index;613,54;613,25;614,17;612,63;29129010313;1865;5,31;2;8625388831180;RUB;1,000000;3,
SNDX;RGBITR;2020-06-01;MOEX Government Bond Index;MOEX Government Bond Index;613,06;612,21;613,41;611,74;59043478607,3;1866;5,32;2;8618689624890;RUB;1,000000;3
SNDX;RGBITR;2020-05-29;MOEX Government Bond Index;MOEX Government Bond Index;611,96;611,65;612,23;611,65;38381629492,8;1905;5,36;2;8190008114530;RUB;1,000000;3
SNDX;RGBITR;2020-05-28;MOEX Government Bond Index;MOEX Government Bond Index;611,49;611,87;611,93;611,37;32512493769,5;1906;5,38;2;8183705399430;RUB;1,000000;3
SNDX;RGBITR;2020-05-27;MOEX Government Bond Index;MOEX Government Bond Index;611,92;613,38;613,56;611,85;41540221413,7;1908;5,36;2;8202155478250;RUB;1,000000;3
SNDX;RGBITR;2020-05-26;MOEX Government Bond Index;MOEX Government Bond Index;613,17;613,78;613,99;613,15;29513274813,5;1905;5,32;2;8218856299980;RUB;1,000000;3
SNDX;RGBITR;2020-05-25;MOEX Government Bond Index;MOEX Government Bond Index;613,06;613;613,77;610,82;8670753559,76;1906;5,32;2;8217414364120;RUB;1,000000;3,
