,Номер бумаги,ISIN,Номер платежа,Дата фактической выплаты,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
249,18,RU000A0JS4M5,9,2016-08-31,7.5,3.7399999999999998,0.0
250,18,RU000A0JS4M5,10,2017-03-01,7.5,3.7399999999999998,0.0
251,18,RU000A0JS4M5,11,2017-08-30,7.5,3.7399999999999998,0.0
252,18,RU000A0JS4M5,12,2018-02-28,7.5,3.7399999999999998,0.0
253,18,RU000A0JS4M5,13,2018-08-29,7.5,3.7399999999999998,0.0
254,18,RU000A0JS4M5,14,2019-02-27,7.5,3.7399999999999998,100.0
255,19,RU000A0JNHJ4,1,2006-04-05,0.0,0.0,0.0
256,19,RU000A0JNHJ4,2,2007-04-04,0.0,0.0,0.0
257,19,RU000A0JNHJ4,3,2008-04-02,0.0,0.0,0.0
258,19,RU000A0JNHJ4,4,2009-04-01,0.0,0.0,0.0
259,19,RU000A0JNHJ4,5,2010-03-31,0.0,0.0,0.0
260,19,RU000A0JNHJ4,6,2011-03-30,0.0,0.0,0.0
261,19,RU000A0JNHJ4,7,2012-03-28,0.0,0.0,0.0
262,19,RU000A0JNHJ4,8,2013-03-27,3.008,3.0,10.0
263,19,RU000A0JNHJ4,9,2014-03-26,2.005,1.8,10.0
264,19,RU000A0JNHJ4,10,2015-03-25,2.005,1.6,10.0
265,19,RU000A0JNHJ4,11,2016-03-23,2.005,1.4,10.0
266,19,RU000A0JNHJ4,12,2017-03-22,2.005,1.2,20.0
267,19,RU000A0JNHJ4,13,2018-03-21,2.005,0.8,20.0
268,19,RU000A0JNHJ4,14,2019-03-20,2.005,0.4,20.0
269,20,RU000A0JU9V1,1,2014-05-21,6.7,3.469,0.0
270,20,RU000A0JU9V1,2,2014-11-19,6.7,3.3409999999999997,0.0
271,20,RU000A0JU9V1,3,2015-05-20,6.7,3.3409999999999997,0.0
272,20,RU000A0JU9V1,4,2015-11-18,6.7,3.3409999999999997,0.0
273,20,RU000A0JU9V1,5,2016-05-18,6.7,3.3409999999999997,0.0
274,20,RU000A0JU9V1,6,2016-11-16,6.7,3.3409999999999997,0.0
275,20,RU000A0JU9V1,7,2017-05-17,6.7,3.3409999999999997,0.0
276,20,RU000A0JU9V1,8,2017-11-15,6.7,3.3409999999999997,0.0
277,20,RU000A0JU9V1,9,2018-05-16,6.7,3.3409999999999997,0.0
278,20,RU000A0JU9V1,10,2018-11-14,6.7,3.3409999999999997,0.0
279,20,RU000A0JU9V1,11,2019-05-15,6.7,3.3409999999999997,100.0
280,21,RU000A0JTG59,1,2013-06-19,6.8,3.3909999999999996,0.0
281,21,RU000A0JTG59,2,2013-12-18,6.8,3.3909999999999996,0.0
282,21,RU000A0JTG59,3,2014-06-18,6.8,3.3909999999999996,0.0
283,21,RU000A0JTG59,4,2014-12-17,6.8,3.3909999999999996,0.0
284,21,RU000A0JTG59,5,2015-06-17,6.8,3.3909999999999996,0.0
285,21,RU000A0JTG59,6,2015-12-16,6.8,3.3909999999999996,0.0
286,21,RU000A0JTG59,7,2016-06-15,6.8,3.3909999999999996,0.0
287,21,RU000A0JTG59,8,2016-12-14,6.8,3.3909999999999996,0.0
288,21,RU000A0JTG59,9,2017-06-14,6.8,3.3909999999999996,0.0
289,21,RU000A0JTG59,10,2017-12-13,6.8,3.3909999999999996,0.0
290,21,RU000A0JTG59,11,2018-06-13,6.8,3.3909999999999996,0.0
291,21,RU000A0JTG59,12,2018-12-12,6.8,3.3909999999999996,0.0
292,21,RU000A0JTG59,13,2019-06-12,6.8,3.3909999999999996,0.0
293,21,RU000A0JTG59,14,2019-12-11,6.8,3.3909999999999996,100.0
294,22,RU000A0JTYA5,1,2013-12-04,6.4,3.191,0.0
295,22,RU000A0JTYA5,2,2014-06-04,6.4,3.191,0.0
296,22,RU000A0JTYA5,3,2014-12-03,6.4,3.191,0.0
297,22,RU000A0JTYA5,4,2015-06-03,6.4,3.191,0.0
298,22,RU000A0JTYA5,5,2015-12-02,6.4,3.191,0.0
299,22,RU000A0JTYA5,6,2016-06-01,6.4,3.191,0.0
300,22,RU000A0JTYA5,7,2016-11-30,6.4,3.191,0.0
301,22,RU000A0JTYA5,8,2017-05-31,6.4,3.191,0.0
302,22,RU000A0JTYA5,9,2017-11-29,6.4,3.191,0.0
303,22,RU000A0JTYA5,10,2018-05-30,6.4,3.191,0.0
304,22,RU000A0JTYA5,11,2018-11-28,6.4,3.191,0.0
305,22,RU000A0JTYA5,12,2019-05-29,6.4,3.191,0.0
306,22,RU000A0JTYA5,13,2019-11-27,6.4,3.191,0.0
307,22,RU000A0JTYA5,14,2020-05-27,6.4,3.191,100.0
308,23,RU000A0JREQ7,1,2011-10-26,7.6,4.081,0.0
309,23,RU000A0JREQ7,2,2012-04-25,7.6,3.79,0.0
310,23,RU000A0JREQ7,3,2012-10-24,7.6,3.79,0.0
311,23,RU000A0JREQ7,4,2013-04-24,7.6,3.79,0.0
312,23,RU000A0JREQ7,5,2013-10-23,7.6,3.79,0.0
313,23,RU000A0JREQ7,6,2014-04-23,7.6,3.79,0.0
314,23,RU000A0JREQ7,7,2014-10-22,7.6,3.79,0.0
315,23,RU000A0JREQ7,8,2015-04-22,7.6,3.79,0.0
316,23,RU000A0JREQ7,9,2015-10-21,7.6,3.79,0.0
317,23,RU000A0JREQ7,10,2016-04-20,7.6,3.79,0.0
318,23,RU000A0JREQ7,11,2016-10-19,7.6,3.79,0.0
319,23,RU000A0JREQ7,12,2017-04-19,7.6,3.79,0.0
320,23,RU000A0JREQ7,13,2017-10-18,7.6,3.79,0.0
321,23,RU000A0JREQ7,14,2018-04-18,7.6,3.79,0.0
322,23,RU000A0JREQ7,15,2018-10-17,7.6,3.79,0.0
323,23,RU000A0JREQ7,16,2019-04-17,7.6,3.79,0.0
324,23,RU000A0JREQ7,17,2019-10-16,7.6,3.79,0.0
325,23,RU000A0JREQ7,18,2020-04-15,7.6,3.79,0.0
326,23,RU000A0JREQ7,19,2020-10-14,7.6,3.79,0.0
327,23,RU000A0JREQ7,20,2021-04-14,7.6,3.79,100.0
328,24,RU000A0JVW30,1,2016-02-24,7.5,2.445,0.0
329,24,RU000A0JVW30,2,2016-08-24,7.5,3.7399999999999998,0.0
330,24,RU000A0JVW30,3,2017-02-22,7.5,3.7399999999999998,0.0
331,24,RU000A0JVW30,4,2017-08-23,7.5,3.7399999999999998,0.0
332,24,RU000A0JVW30,5,2018-02-21,7.5,3.7399999999999998,0.0
333,24,RU000A0JVW30,6,2018-08-22,7.5,3.7399999999999998,0.0
334,24,RU000A0JVW30,7,2019-02-20,7.5,3.7399999999999998,0.0
335,24,RU000A0JVW30,8,2019-08-21,7.5,3.7399999999999998,0.0
336,24,RU000A0JVW30,9,2020-02-19,7.5,3.7399999999999998,0.0
337,24,RU000A0JVW30,10,2020-08-19,7.5,3.7399999999999998,0.0
338,24,RU000A0JVW30,11,2021-02-17,7.5,3.7399999999999998,0.0
339,24,RU000A0JVW30,12,2021-08-18,7.5,3.7399999999999998,100.0
340,25,RU000A0D0G29,1,2005-06-15,9.5,2.368,0.0
341,25,RU000A0D0G29,2,2005-09-14,9.5,2.368,0.0
342,25,RU000A0D0G29,3,2005-12-14,9.5,2.368,0.0
343,25,RU000A0D0G29,4,2006-03-15,9.5,2.368,0.0
344,25,RU000A0D0G29,5,2006-06-14,9.5,2.368,0.0
345,25,RU000A0D0G29,6,2006-09-13,9.5,2.368,0.0
346,25,RU000A0D0G29,7,2006-12-13,9.5,2.368,0.0
347,25,RU000A0D0G29,8,2007-03-14,9.0,2.244,0.0
348,25,RU000A0D0G29,9,2007-06-13,9.0,2.244,0.0
349,25,RU000A0D0G29,10,2007-09-12,9.0,2.244,0.0
350,25,RU000A0D0G29,11,2007-12-12,9.0,2.244,0.0
351,25,RU000A0D0G29,12,2008-03-12,9.0,2.244,0.0
352,25,RU000A0D0G29,13,2008-06-11,9.0,2.244,0.0
353,25,RU000A0D0G29,14,2008-09-10,9.0,2.244,0.0
354,25,RU000A0D0G29,15,2008-12-10,9.0,2.244,0.0
355,25,RU000A0D0G29,16,2009-03-11,8.5,2.119,0.0
356,25,RU000A0D0G29,17,2009-06-10,8.5,2.119,0.0
357,25,RU000A0D0G29,18,2009-09-09,8.5,2.119,0.0
358,25,RU000A0D0G29,19,2009-12-09,8.5,2.119,0.0
359,25,RU000A0D0G29,20,2010-03-10,8.5,2.119,0.0
360,25,RU000A0D0G29,21,2010-06-09,8.5,2.119,0.0
361,25,RU000A0D0G29,22,2010-09-08,8.5,2.119,0.0
362,25,RU000A0D0G29,23,2010-12-08,8.5,2.119,0.0
363,25,RU000A0D0G29,24,2011-03-09,8.0,1.9949999999999999,0.0
364,25,RU000A0D0G29,25,2011-06-08,8.0,1.9949999999999999,0.0
365,25,RU000A0D0G29,26,2011-09-07,8.0,1.9949999999999999,0.0
366,25,RU000A0D0G29,27,2011-12-07,8.0,1.9949999999999999,0.0
367,25,RU000A0D0G29,28,2012-03-07,8.0,1.9949999999999999,0.0
