Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2021-07-21 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,18,7.6,37.9,0.0
2022-01-19 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,19,7.6,37.9,0.0
2022-07-20 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,20,7.6,37.9,1000.0
2013-06-19 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,1,6.8,33.91,0.0
2013-12-18 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,2,6.8,33.91,0.0
2014-06-18 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,3,6.8,33.91,0.0
2014-12-17 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,4,6.8,33.91,0.0
2015-06-17 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,5,6.8,33.91,0.0
2015-12-16 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,6,6.8,33.91,0.0
2016-06-15 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,7,6.8,33.91,0.0
2016-12-14 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,8,6.8,33.91,0.0
2017-06-14 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,9,6.8,33.91,0.0
2017-12-13 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,10,6.8,33.91,0.0
2018-06-13 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,11,6.8,33.91,0.0
2018-12-12 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,12,6.8,33.91,0.0
2019-06-13 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,13,6.8,33.91,0.0
2019-11-12 00:00:00,26210,RU000A0JTG59,SU26210RMFS3,14,6.8,33.91,1000.0
2013-07-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,1,7.0,38.93,0.0
2014-05-02 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,2,7.0,34.9,0.0
2014-06-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,3,7.0,34.9,0.0
2015-04-02 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,4,7.0,34.9,0.0
2015-05-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,5,7.0,34.9,0.0
2016-03-02 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,6,7.0,34.9,0.0
2016-03-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,7,7.0,34.9,0.0
2017-01-02 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,8,7.0,34.9,0.0
2017-02-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,9,7.0,34.9,0.0
2018-01-31 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,10,7.0,34.9,0.0
2018-01-08 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,11,7.0,34.9,0.0
2019-01-30 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,12,7.0,34.9,0.0
2019-07-31 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,13,7.0,34.9,0.0
2020-01-29 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,14,7.0,34.9,0.0
2020-07-29 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,15,7.0,34.9,0.0
2021-01-27 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,16,7.0,34.9,0.0
2021-07-28 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,17,7.0,34.9,0.0
2022-01-26 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,18,7.0,34.9,0.0
2022-07-27 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,19,7.0,34.9,0.0
2023-01-25 00:00:00,26211,RU000A0JTJL3,SU26211RMFS1,20,7.0,34.9,1000.0
2013-07-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,1,7.05,37.86,0.0
2014-05-02 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,2,7.05,35.15,0.0
2014-06-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,3,7.05,35.15,0.0
2015-04-02 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,4,7.05,35.15,0.0
2015-05-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,5,7.05,35.15,0.0
2016-03-02 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,6,7.05,35.15,0.0
2016-03-08 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,7,7.05,35.15,0.0
2017-01-02 00:00:00,26212,RU000A0JTK38,SU26212RMFS9,8,7.05,35.15,0.0
